,score
7,0.47736298649722003
6,0.4736563410113847
5,0.47339158061953934
3,0.47180301826846704
4,0.46677257082340484
8,0.46624305003971406
9,0.46624305003971406
10,0.46624305003971406
2,0.4598888006354249
11,0.45909451945988883
12,0.45750595710881653
